id_gracza	imie	nazwisko	wiek
66	Fryderyk	Brzezinski	91
67	Marian	Glowacki	46
68	Oktawian	Krupa	90
69	Milan	Kowalczyk	49
70	Juliusz	Cieslak	31
71	Heronim	Mazur	31
72	Korneliusz	Mazur	68
73	Bronislaw	Dabrowski	88
74	Gracjan	Adamski	22
75	Rafal	Mazurek	77
76	Eustachy	Tomaszewski	62
77	Gracjan	Blaszczyk	50
78	Krystian	Przybylski	48
79	Alan	Baran	61
80	Gustaw	Kaminski	79
81	Mikolaj	Makowski	62
82	Mateusz	Jasinski	62
83	Arkadiusz	Ostrowski	30
84	Oktawian	Sobczak	62
85	Aleks	Michalak	85
86	Juliusz	Wozniak	39
87	Kordian	Sokolowski	51
88	Roman	Szewczyk	78
89	Piotr	Kozlowski	90
90	Kewin	Michalak	83
91	Marian	Tomaszewski	39
92	Aleks	Kozlowski	44
93	Cyprian	Ostrowski	79
94	Kacper	Kaczmarczyk	90
95	Amadeusz	Wojcik	20
96	Przemyslaw	Czerwinski	38
97	Kamil	Baranowski	42
98	Mieszko	Gajewski	24
99	Jedrzej	Szymczak	19
100	Igor	Kolodziej	78
101	Norbert	Zielinski	88
102	Hubert	Ostrowski	58
103	Maksymilian	Stepien	32
104	Mieszko	Nowak	89
105	Florian	Jasinski	47
106	Borys	Lewandowski	22
107	Alfred	Malinowski	14
108	Gracjan	Sikorski	49
109	Ignacy	Kucharski	47
110	Kamil	Zalewski	36
111	Ksawery	Walczak	93
112	Amir	Jaworski	45
113	Aleksander	Urbanski	93
114	Eugeniusz	Jaworski	29
115	Denis	Nowak	76
116	Jedrzej	Nowak	29
117	Piotr	Sobczak	63
118	Gustaw	Adamski	80
119	Dorian	Glowacki	85
120	Alex	Zielinski	44
121	Mikolaj	Szymczak	61
122	Janusz	Marciniak	21
123	Emanuel	Kalinowski	51
124	Bogumil	Kubiak	42
125	Kazimierz	Kozlowski	19
126	Konstanty	Glowacki	29
127	Emil	Sadowski	27
128	Emil	Zielinski	22
129	Ignacy	Szczepanski	26
130	Jaroslaw	Jankowski	79
131	Konstanty	Sawicki	74
132	Bartlomiej	Wojciechowski	36
133	Oktawian	Marciniak	82
134	Franciszek	Zielinski	68
135	Ernest	Zakrzewski	53
136	Hubert	Wlodarczyk	51
137	Damian	Michalak	71
138	Anatol	Blaszczyk	40
139	Karol	Szymczak	22
140	Alan	Andrzejewski	81
141	Klaudiusz	Sokolowski	36
142	Dorian	Wozniak	81
143	Gniewomir	Kowalski	35
144	Amir	Lis	80
145	Boleslaw	Sikorski	40
146	Kryspin	Tomaszewski	51
147	Diego	Michalak	47
148	Dawid	Wysocki	14
149	Marek	Kalinowski	18
150	Damian	Sikorski	59
151	Emanuel	Lewandowski	76
152	Joachim	Marciniak	92
153	Anatol	Szymanski	68
154	Aleks	Kaminski	15
155	Eugeniusz	Sikora	36
156	Miron	Kaminski	16
157	Lukasz	Szymanski	63
158	Olgierd	Kaminski	24
159	Jozef	Dabrowski	90
160	Igor	Mroz	60
161	Martin	Zawadzki	48
162	Alek	Duda	59
163	Daniel	Makowski	33
164	Dominik	Kazmierczak	52
165	Ernest	Blaszczyk	49
166	Fabian	Kaminski	51
167	Ksawery	Jankowski	87
168	Karol	Wojciechowski	74
169	Gracjan	Wroblewski	92
170	Bronislaw	Cieslak	68
171	Natan	Kwiatkowski	14
172	Julian	Wojciechowski	74
173	Roman	Andrzejewski	23
174	Emanuel	Sadowski	59
175	Edward	Ziolkowski	48
176	Oskar	Krajewski	82
177	Ernest	Andrzejewski	42
178	Dobromil	Cieslak	87
179	Klaudiusz	Wisniewski	66
180	Marek	Zakrzewski	42
181	Karol	Blaszczyk	69
182	Arkadiusz	Brzezinski	25
183	Allan	Wasilewski	51
184	Juliusz	Sadowski	37
185	Ksawery	Baranowski	69
186	Fabian	Wozniak	87
187	Alex	Szulc	39
188	Maciej	Kwiatkowski	55
189	Alex	Maciejewski	53
190	Gabriel	Sadowski	85
191	Alex	Laskowski	42
192	Bruno	Krajewski	84
193	Fryderyk	Michalak	22
194	Bogumil	Pawlak	49
195	Dariusz	Mroz	56
196	Jozef	Kaminski	38
197	Antoni	Krawczyk	19
198	Bruno	Czarnecki	70
199	Ireneusz	Borkowski	52
200	Mateusz	Lewandowski	56
201	Andrzej	Jankowski	71
202	Ernest	Czarnecki	87
203	Kamil	Ostrowski	76
204	Jozef	Cieslak	50
205	Edward	Zakrzewski	57
206	Konrad	Wisniewski	32
207	Bruno	Urbanski	59
208	Emil	Mazur	62
209	Amadeusz	Walczak	48
210	Bartlomiej	Kozlowski	77
211	Damian	Makowski	59
212	Jerzy	Kaminski	37
213	Bronislaw	Wlodarczyk	48
214	Allan	Sikorski	86
215	Kazimierz	Mazurek	66
216	Maksymilian	Ostrowski	72
217	Michal	Malinowski	28
218	Andrzej	Witkowski	77
219	Cezary	Kalinowski	67
220	Jakub	Glowacki	23
221	Denis	Cieslak	67
222	Eugeniusz	Kwiatkowski	58
223	Radoslaw	Wozniak	21
224	Patryk	Stepien	91
225	Fabian	Cieslak	47
226	Amir	Chmielewski	70
227	Eryk	Witkowski	40
228	Aureliusz	Kubiak	60
229	Juliusz	Glowacki	15
230	Leszek	Wasilewski	67
231	Kacper	Sokolowski	55
232	Norbert	Zawadzki	39
233	Jaroslaw	Stepien	44
234	Hubert	Dabrowski	72
235	Anatol	Chmielewski	16
236	Natan	Mroz	21
237	Alojzy	Wisniewski	81
238	Emanuel	Jasinski	90
239	Daniel	Stepien	70
240	Filip	Zawadzki	65
241	Dorian	Mazurek	82
242	Dorian	Kowalczyk	24
243	Allan	Mroz	30
244	Hubert	Duda	34
245	Kamil	Zawadzki	73
246	Eugeniusz	Sikorski	19
247	Rafal	Tomaszewski	46
248	Franciszek	Cieslak	82
249	Dariusz	Blaszczyk	35
250	Eugeniusz	Kalinowski	91
251	Kuba	Sawicki	29
252	Amadeusz	Ziolkowski	30
253	Patryk	Brzezinski	18
254	Julian	Jasinski	18
255	Boleslaw	Baranowski	90
256	Eustachy	Szewczyk	65
257	Adrian	Kwiatkowski	57
258	Ernest	Kwiatkowski	44
259	Dorian	Zalewski	50
260	Edward	Tomaszewski	48
261	Gniewomir	Jankowski	90
262	Dobromil	Glowacki	90
263	Milosz	Kazmierczak	90
264	Radoslaw	Jaworski	32
265	Maurycy	Gorecki	50
266	Aleks	Nowak	67
267	Ludwik	Wisniewski	69
268	Alek	Maciejewski	26
269	Maksymilian	Chmielewski	45
270	Julian	Pietrzak	79
271	Borys	Ziolkowski	86
272	Maurycy	Szymczak	38
273	Mieszko	Makowski	28
274	Przemyslaw	Przybylski	49
275	Patryk	Urbanski	58
276	Emanuel	Kozlowski	58
277	Gabriel	Kwiatkowski	90
278	Patryk	Wisniewski	47
279	Kordian	Borkowski	21
280	Remigiusz	Maciejewski	24
281	Michal	Witkowski	82
282	Korneliusz	Urbanski	20
283	Ignacy	Zawadzki	62
284	Cyprian	Krajewski	27
285	Maksymilian	Szulc	22
286	Krystian	Zielinski	21
287	Diego	Szewczyk	21
288	Denis	Mroz	69
289	Milan	Kozlowski	59
290	Mateusz	Jankowski	83
291	Ryszard	Zakrzewski	27
292	Maciej	Kazmierczak	39
293	Andrzej	Szewczyk	87
294	Dobromil	Czerwinski	58
295	Hubert	Zielinski	32
296	Mateusz	Kucharski	85
297	Lucjan	Baranowski	78
298	Kornel	Sikora	88
299	Oskar	Jankowski	38
300	Hubert	Blaszczyk	69
301	Lucjan	Szymczak	19
302	Ryszard	Malinowski	45
303	Maurycy	Krawczyk	22
304	Klaudiusz	Wlodarczyk	30
305	Patryk	Piotrowski	51
306	Maciej	Wojciechowski	69
307	Adrian	Wasilewski	43
308	Korneliusz	Sadowski	83
309	Anatol	Szulc	24
310	Maurycy	Nowak	81
311	Jedrzej	Baranowski	34
312	Maurycy	Wasilewski	71
313	Emil	Szymczak	23
314	Marian	Szulc	30
315	Marcin	Zawadzki	83
316	Edward	Stepien	23
317	Denis	Rutkowski	81
318	Alan	Kalinowski	65
319	Maciej	Kaminski	85
320	Alojzy	Szewczyk	40
321	Jan	Kowalczyk	78
322	Przemyslaw	Witkowski	71
323	Aleksander	Sawicki	24
324	Kacper	Makowski	31
325	Marek	Glowacki	48
326	Amir	Laskowski	92
327	Aureliusz	Kubiak	23
328	Dobromil	Zielinski	51
329	Alfred	Krawczyk	88
330	Blazej	Lis	47
331	Alex	Kazmierczak	79
332	Kordian	Andrzejewski	56
333	Norbert	Kucharski	76
334	Allan	Wojcik	14
335	Maurycy	Kalinowski	17
336	Bruno	Tomaszewski	66
337	Aleks	Urbanski	73
338	Bartlomiej	Kucharski	52
339	Bartosz	Baran	86
340	Natan	Przybylski	32
341	Bruno	Rutkowski	54
342	Artur	Kowalski	85
343	Anatol	Cieslak	80
344	Marcin	Cieslak	71
345	Amadeusz	Sikora	36
346	Antoni	Jankowski	77
347	Norbert	Pietrzak	75
348	Jozef	Mroz	34
349	Jerzy	Kazmierczak	16
350	Klaudiusz	Marciniak	67
351	Jakub	Krawczyk	68
352	Dawid	Mazur	52
353	Natan	Czerwinski	27
354	Bruno	Bak	62
355	Kornel	Szewczyk	44
356	Jozef	Sikorski	71
357	Eryk	Sikora	22
358	Grzegorz	Szewczyk	86
359	Marian	Andrzejewski	18
360	Borys	Maciejewski	36
361	Arkadiusz	Krajewski	48
362	Cyprian	Wozniak	14
363	Cyprian	Brzezinski	51
364	Franciszek	Glowacki	76
365	Anastazy	Kaminski	47
366	Miroslaw	Kazmierczak	46
367	Bartosz	Kowalczyk	40
368	Boleslaw	Andrzejewski	67
369	Patryk	Zielinski	82
370	Lucjan	Kowalczyk	65
371	Ireneusz	Szczepanski	87
372	Fryderyk	Chmielewski	50
373	Amir	Jasinski	47
374	Kamil	Szymczak	73
375	Adrian	Ostrowski	90
376	Boleslaw	Czarnecki	79
377	Adam	Jankowski	87
378	Heronim	Kwiatkowski	18
379	Lucjan	Czarnecki	67
380	Jan	Kazmierczak	48
381	Cyprian	Wisniewski	52
382	Artur	Pawlak	81
383	Leonardo	Wojcik	71
384	Alex	Borkowski	35
385	Bronislaw	Piotrowski	38
386	Dorian	Tomaszewski	41
387	Gabriel	Michalak	44
388	Rafal	Wisniewski	82
389	Remigiusz	Ostrowski	31
390	Anastazy	Gorski	15
391	Patryk	Sikorski	49
392	Artur	Zawadzki	50
393	Joachim	Kowalczyk	14
394	Joachim	Kucharski	15
395	Dominik	Makowski	41
396	Hubert	Witkowski	47
397	Radoslaw	Cieslak	76
398	Roman	Kubiak	58
399	Milan	Kucharski	70
400	Cezary	Kazmierczak	24
401	Aleksander	Wasilewski	67
402	Alexander	Maciejewski	52
403	Cezary	Jakubowski	76
404	Aleks	Sikorski	58
405	Eugeniusz	Mroz	58
406	Igor	Kalinowski	41
407	Cezary	Marciniak	88
408	Norbert	Szulc	73
409	Ireneusz	Sikorski	64
410	Ignacy	Dabrowski	62
411	Dorian	Wozniak	82
412	Remigiusz	Zakrzewski	63
413	Denis	Sadowski	72
414	Olgierd	Wozniak	34
415	Marian	Bak	59
416	Klaudiusz	Gajewski	15
417	Jacek	Piotrowski	83
418	Lucjan	Gajewski	56
419	Florian	Kalinowski	71
420	Emanuel	Dabrowski	43
421	Ludwik	Jasinski	24
422	Patryk	Ostrowski	22
423	Janusz	Glowacki	41
424	Robert	Kucharski	90
425	Kuba	Czarnecki	16
426	Adam	Ziolkowski	64
427	Kuba	Kolodziej	18
428	Ksawery	Ostrowski	77
429	Dobromil	Duda	78
430	Anatol	Lis	36
431	Milan	Jaworski	68
432	Eryk	Kalinowski	71
433	Remigiusz	Sokolowski	14
434	Alek	Duda	89
435	Boleslaw	Wysocki	54
436	Kornel	Wojcik	51
437	Natan	Kaczmarczyk	47
438	Julian	Gorecki	31
439	Eugeniusz	Sikorski	67
440	Korneliusz	Jankowski	27
441	Daniel	Kazmierczak	20
442	Dorian	Maciejewski	55
443	Czeslaw	Mazur	44
444	Oskar	Jasinski	93
445	Marcin	Wlodarczyk	86
446	Anastazy	Kazmierczak	61
447	Marcin	Makowski	61
448	Alexander	Wlodarczyk	62
449	Fryderyk	Baran	54
450	Maciej	Wozniak	30
451	Mieszko	Przybylski	84
452	Juliusz	Chmielewski	73
453	Jan	Maciejewski	58
454	Bartlomiej	Szewczyk	30
455	Aleksander	Rutkowski	69
456	Fryderyk	Urbanski	29
457	Jedrzej	Dabrowski	54
458	Remigiusz	Kucharski	69
459	Hubert	Kozlowski	85
460	Kajetan	Chmielewski	15
461	Antoni	Lewandowski	45
462	Aleks	Przybylski	15
463	Jerzy	Stepien	26
464	Norbert	Rutkowski	29
465	Hubert	Michalak	51
466	Amadeusz	Wlodarczyk	56
467	Damian	Maciejewski	70
468	Artur	Piotrowski	76
469	Franciszek	Stepien	91
470	Anastazy	Blaszczyk	40
471	Krzysztof	Wisniewski	19
472	Marcel	Nowak	84
473	Alojzy	Kozlowski	44
474	Ernest	Walczak	33
475	Oktawian	Gajewski	74
476	Remigiusz	Kozlowski	60
477	Alojzy	Ziolkowski	35
478	Olgierd	Kwiatkowski	22
479	Ksawery	Pawlak	68
480	Grzegorz	Czerwinski	20
481	Ryszard	Tomaszewski	35
482	Bartlomiej	Czarnecki	39
483	Denis	Witkowski	58
484	Dariusz	Piotrowski	15
485	Ludwik	Sikora	29
486	Anatol	Laskowski	63
487	Ignacy	Baran	49
488	Natan	Pietrzak	71
489	Czeslaw	Sokolowski	71
490	Jerzy	Kaminski	84
491	Gracjan	Kaminski	17
492	Amir	Szymanski	93
493	Natan	Kucharski	91
494	Alexander	Kolodziej	43
495	Emanuel	Mazur	44
496	Klaudiusz	Kaczmarczyk	26
497	Alojzy	Wojciechowski	33
498	Marek	Kowalski	73
499	Aleksander	Chmielewski	59
500	Maciej	Ostrowski	63
501	Fabian	Mazurek	17
502	Bartlomiej	Ziolkowski	52
503	Eustachy	Gajewski	91
504	Filip	Brzezinski	74
505	Antoni	Kubiak	64
506	Heronim	Krajewski	28
507	Kordian	Sobczak	69
508	Gniewomir	Makowski	64
509	Kewin	Sikora	33
510	Janusz	Baranowski	28
511	Alek	Rutkowski	18
512	Allan	Lewandowski	70
513	Janusz	Piotrowski	91
514	Kordian	Cieslak	36
515	Amadeusz	Wroblewski	28
516	Julian	Jasinski	33
517	Korneliusz	Zalewski	23
518	Kordian	Wysocki	69
519	Mikolaj	Sadowski	59
520	Jaroslaw	Kucharski	40
521	Dawid	Szewczyk	39
522	Ludwik	Borkowski	85
523	Jedrzej	Ziolkowski	46
524	Mariusz	Lewandowski	47
525	Kryspin	Walczak	60
526	Robert	Wojcik	41
527	Anastazy	Zielinski	47
528	Przemyslaw	Chmielewski	35
529	Kryspin	Gorski	37
530	Borys	Kalinowski	81
531	Ariel	Laskowski	30
532	Amir	Marciniak	79
533	Klaudiusz	Sikorski	21
534	Miroslaw	Wlodarczyk	74
535	Franciszek	Jankowski	43
536	Ryszard	Brzezinski	61
537	Aleksander	Laskowski	48
538	Marcel	Wojcik	39
539	Kamil	Jakubowski	16
540	Kajetan	Lis	91
541	Kazimierz	Kozlowski	83
542	Norbert	Jasinski	23
543	Michal	Nowak	64
544	Joachim	Wasilewski	66
545	Antoni	Wojciechowski	92
546	Heronim	Sadowski	84
547	Eugeniusz	Andrzejewski	44
548	Rafal	Chmielewski	83
549	Emanuel	Rutkowski	43
550	Dariusz	Kowalczyk	20
551	Maciej	Szczepanski	69
552	Michal	Wasilewski	35
553	Radoslaw	Rutkowski	40
554	Piotr	Kucharski	52
555	Mieszko	Kowalski	27
556	Patryk	Kucharski	73
557	Klaudiusz	Czerwinski	63
558	Cezary	Makowski	36
559	Filip	Lis	58
560	Joachim	Mroz	28
561	Adam	Kowalski	40
562	Franciszek	Czarnecki	65
563	Kajetan	Wroblewski	57
564	Juliusz	Krajewski	87
565	Alfred	Gajewski	29
566	Milan	Adamski	83
567	Patryk	Krupa	42
568	Ignacy	Zawadzki	38
569	Gniewomir	Chmielewski	56
570	Allan	Mazurek	78
571	Jerzy	Borkowski	79
572	Daniel	Kozlowski	63
573	Kordian	Sikorski	62
574	Amir	Pawlak	63
575	Fryderyk	Mazurek	31
576	Borys	Dabrowski	34
577	Robert	Kowalczyk	73
578	Maciej	Wojciechowski	38
579	Kornel	Dabrowski	42
580	Bruno	Szymczak	78
581	Gracjan	Szymanski	64
582	Ignacy	Kaminski	21
583	Grzegorz	Gorski	87
584	Michal	Szymanski	35
585	Bartlomiej	Kalinowski	68
586	Eryk	Wozniak	58
587	Maksymilian	Cieslak	49
588	Leonardo	Blaszczyk	91
589	Mariusz	Stepien	54
590	Damian	Wisniewski	35
591	Natan	Kucharski	81
592	Juliusz	Krupa	41
593	Dobromil	Pawlak	54
594	Kacper	Nowak	87
595	Heronim	Krawczyk	89
596	Anatol	Sadowski	59
597	Miron	Ziolkowski	38
598	Kuba	Wasilewski	41
599	Hubert	Gorecki	18
600	Oktawian	Sawicki	60
601	Krzysztof	Chmielewski	19
602	Miron	Tomaszewski	53
603	Bronislaw	Baran	14
604	Henryk	Wozniak	28
605	Henryk	Urbanski	88
606	Maksymilian	Jaworski	62
607	Igor	Szymczak	74
608	Jedrzej	Kowalczyk	83
609	Aleksy	Gajewski	31
610	Daniel	Gajewski	46
611	Daniel	Piotrowski	17
612	Norbert	Michalak	67
613	Ignacy	Glowacki	58
614	Krystian	Mazurek	91
615	Igor	Pietrzak	44
616	Damian	Lis	35
617	Ireneusz	Kowalski	68
618	Maksymilian	Wojcik	65
619	Alojzy	Szewczyk	56
620	Mikolaj	Sadowski	91
621	Janusz	Adamski	44
622	Miroslaw	Wozniak	80
623	Diego	Pawlak	26
624	Bartosz	Kucharski	31
625	Fryderyk	Krupa	73
626	Alfred	Stepien	40
627	Korneliusz	Dabrowski	68
628	Blazej	Michalak	42
629	Franciszek	Szymczak	58
630	Ariel	Jankowski	49
631	Alex	Bak	28
632	Alfred	Szczepanski	20
633	Patryk	Czerwinski	28
634	Leonardo	Brzezinski	33
635	Cyprian	Walczak	64
636	Oskar	Adamski	65
637	Dobromil	Jankowski	20
638	Olgierd	Sikorski	46
639	Bruno	Cieslak	38
640	Remigiusz	Nowak	93
641	Damian	Krupa	27
642	Borys	Wysocki	55
643	Filip	Laskowski	73
644	Blazej	Czerwinski	33
645	Anastazy	Mazur	82
646	Michal	Lewandowski	74
647	Maurycy	Kaminski	52
648	Dawid	Nowak	43
649	Dominik	Kowalski	91
650	Czeslaw	Kwiatkowski	83
651	Henryk	Ostrowski	43
652	Anatol	Sadowski	26
653	Florian	Przybylski	63
654	Fabian	Walczak	59
655	Kacper	Lis	76
656	Kewin	Laskowski	46
657	Ryszard	Zielinski	85
658	Mieszko	Urbanski	29
659	Kewin	Maciejewski	30
660	Diego	Kucharski	27
661	Dobromil	Glowacki	93
662	Bartosz	Sikorski	67
663	Kornel	Szewczyk	90
664	Janusz	Zawadzki	63
665	Hubert	Kolodziej	92
666	Olgierd	Malinowski	14
667	Filip	Cieslak	93
668	Alek	Andrzejewski	43
669	Bartosz	Szewczyk	27
670	Joachim	Cieslak	45
671	Borys	Czarnecki	82
672	Amir	Wojciechowski	36
673	Remigiusz	Kolodziej	56
674	Denis	Sawicki	33
675	Olaf	Szymanski	63
676	Jedrzej	Wroblewski	19
677	Bartosz	Czerwinski	39
678	Milosz	Wasilewski	91
679	Gracjan	Przybylski	88
680	Denis	Blaszczyk	85
681	Lucjan	Kucharski	89
682	Piotr	Mazurek	63
683	Klaudiusz	Szczepanski	85
684	Dawid	Stepien	15
685	Karol	Maciejewski	68
686	Daniel	Kubiak	21
687	Przemyslaw	Zielinski	31
688	Juliusz	Zalewski	34
689	Mateusz	Rutkowski	28
690	Kordian	Czarnecki	89
691	Arkadiusz	Zawadzki	47
692	Janusz	Malinowski	46
693	Alan	Laskowski	50
694	Maksymilian	Baranowski	35
695	Olgierd	Michalak	71
696	Allan	Szewczyk	31
697	Jaroslaw	Kubiak	20
698	Mikolaj	Laskowski	79
699	Patryk	Lis	40
700	Florian	Sikora	35
701	Maurycy	Bak	91
702	Oskar	Maciejewski	55
703	Dominik	Jakubowski	21
704	Norbert	Stepien	85
705	Jacek	Sobczak	83
706	Oktawian	Sikorski	87
707	Anatol	Mazurek	18
708	Mateusz	Ziolkowski	83
709	Kordian	Baran	74
710	Oktawian	Wasilewski	47
711	Kazimierz	Kwiatkowski	89
712	Jerzy	Wojciechowski	61
713	Mikolaj	Lewandowski	91
714	Aleks	Brzezinski	71
715	Borys	Wroblewski	19
716	Jozef	Nowak	80
717	Eustachy	Zawadzki	26
718	Fryderyk	Dabrowski	69
719	Kajetan	Sokolowski	40
720	Piotr	Jaworski	91
721	Gracjan	Stepien	31
722	Oskar	Czarnecki	64
723	Diego	Baran	57
724	Kamil	Zakrzewski	31
725	Hubert	Kozlowski	19
726	Marcin	Pawlak	75
727	Korneliusz	Brzezinski	31
728	Kacper	Wroblewski	35
729	Karol	Maciejewski	73
730	Radoslaw	Tomaszewski	33
731	Alexander	Sikora	71
732	Janusz	Wisniewski	56
733	Robert	Lis	85
734	Adrian	Maciejewski	45
735	Kuba	Baranowski	75
736	Alex	Gorecki	91
737	Amir	Zakrzewski	71
738	Heronim	Nowak	51
739	Mateusz	Zalewski	64
740	Alexander	Krajewski	84
741	Ignacy	Kaminski	44
742	Krzysztof	Tomaszewski	17
743	Jakub	Wisniewski	93
744	Przemyslaw	Kwiatkowski	16
745	Mikolaj	Sobczak	19
746	Juliusz	Sikora	54
747	Aleks	Wasilewski	19
748	Alojzy	Pietrzak	14
749	Gracjan	Czarnecki	76
750	Ludwik	Baranowski	38
751	Daniel	Witkowski	51
752	Remigiusz	Gajewski	90
753	Jacek	Mazurek	42
754	Amadeusz	Urbanski	27
755	Jozef	Kazmierczak	69
756	Blazej	Szczepanski	87
757	Diego	Borkowski	57
758	Anatol	Marciniak	63
759	Gniewomir	Lis	19
760	Fryderyk	Lewandowski	45
761	Bartlomiej	Marciniak	67
762	Milan	Michalak	72
763	Gabriel	Jankowski	26
764	Piotr	Duda	61
765	Damian	Duda	87
766	Antoni	Jankowski	56
767	Mariusz	Gajewski	46
768	Olgierd	Szymanski	88
769	Norbert	Jasinski	25
770	Igor	Szczepanski	68
771	Emil	Kucharski	62
772	Aleksander	Krajewski	79
773	Jedrzej	Chmielewski	45
774	Krystian	Duda	44
775	Gabriel	Baranowski	21
776	Florian	Tomaszewski	27
777	Alfred	Kalinowski	61
778	Filip	Kaczmarczyk	23
779	Joachim	Szymanski	58
780	Bronislaw	Adamski	59
781	Fryderyk	Kazmierczak	66
782	Fryderyk	Sawicki	45
783	Marian	Jakubowski	38
784	Miron	Wisniewski	90
785	Henryk	Kowalski	37
786	Dominik	Sadowski	56
787	Emil	Kubiak	43
788	Alfred	Malinowski	89
789	Piotr	Brzezinski	55
790	Maurycy	Kaminski	14
791	Heronim	Kwiatkowski	29
792	Igor	Jasinski	23
793	Juliusz	Krajewski	77
794	Gracjan	Andrzejewski	68
795	Eustachy	Wlodarczyk	78
796	Eugeniusz	Chmielewski	48
797	Emil	Blaszczyk	86
798	Cyprian	Sokolowski	78
799	Ariel	Kowalski	85
800	Dobromil	Wojcik	36
801	Ireneusz	Zielinski	65
802	Andrzej	Zawadzki	28
803	Eustachy	Kwiatkowski	41
804	Roman	Kaminski	73
805	Jerzy	Szczepanski	65
806	Igor	Kazmierczak	16
807	Konrad	Zalewski	74
808	Dobromil	Brzezinski	30
809	Dorian	Urbanski	30
810	Hubert	Nowak	58
811	Konrad	Wozniak	78
812	Bartosz	Kucharski	38
813	Maksymilian	Makowski	93
814	Gracjan	Borkowski	74
815	Ryszard	Zielinski	57
816	Korneliusz	Szczepanski	51
817	Bogumil	Ziolkowski	33
818	Jan	Krajewski	44
819	Oktawian	Kowalczyk	67
820	Ernest	Malinowski	51
821	Miroslaw	Pawlak	70
822	Filip	Wojciechowski	54
823	Anatol	Lewandowski	45
824	Heronim	Kalinowski	77
825	Bogumil	Borkowski	59
826	Alfred	Malinowski	37
827	Pawel	Lewandowski	65
828	Kornel	Sadowski	56
829	Edward	Zakrzewski	54
830	Allan	Wysocki	74
831	Jacek	Ziolkowski	42
832	Emanuel	Dabrowski	52
833	Bartosz	Gorski	39
834	Dobromil	Wisniewski	33
835	Juliusz	Stepien	68
836	Norbert	Duda	63
837	Eustachy	Urbanski	78
838	Jozef	Czerwinski	56
839	Arkadiusz	Krawczyk	30
840	Rafal	Dabrowski	76
841	Adam	Wysocki	24
842	Iga	Wozniak	91
843	Aniela	Szulc	65
844	Daria	Jaworska	78
845	Katarzyna	Makowska	63
846	Nina	Jakubowska	44
847	Angelika	Ziolkowska	70
848	Czeslawa	Duda	14
849	Kamila	Blaszczyk	35
850	Paula	Ostrowska	40
851	Judyta	Witkowska	92
852	Stefania	Sobczak	15
853	Amanda	Czerwinska	77
854	Magda	Lis	20
855	Bogda	Kaczmarczyk	49
856	Kinga	Kwiatkowska	45
857	Oliwia	Wasilewska	75
858	Olga	Tomaszewska	85
859	Malgorzata	Szymanska	30
860	Lucyna	Pawlak	71
861	Agata	Kaczmarczyk	15
862	Eleonora	Kwiatkowska	63
863	Angelika	Andrzejewska	47
864	Wanda	Malinowska	34
865	Klara	Pietrzak	79
866	Boguslawa	Jaworska	16
867	Aniela	Blaszczyk	93
868	Kamila	Brzezinska	52
869	Lucyna	Jasinska	37
870	Andrea	Blaszczyk	85
871	Miroslawa	Jankowska	37
872	Honorata	Zakrzewska	88
873	Berenika	Piotrowska	46
874	Elwira	Krupa	90
875	Blanka	Pietrzak	86
876	Iga	Sadowska	88
877	Dominika	Kowalczyk	77
878	Roza	Lis	82
